"ano";"UF";"sexo";"idade";"cor";"mae_viva";"reg_nascimento";"UF_nasc";"alfabetizado";"anos_estudo";"renda_total"
2005;"PB";"homem";3;"branca";1;1;;0;0;
2005;"BA";"homem";41;"branca";0;1;;1;11;2000
2005;"RJ";"mulher";32;"parda";1;1;;1;6;130
2005;"MT";"mulher";37;;1;1;;1;11;500
2005;"CE";"mulher";36;"parda";1;1;;1;2;300
2005;"MT";"homem";53;"parda";0;1;"SE";0;0;300
2005;"GO";"mulher";27;"parda";1;1;;1;15;1200
2005;"SP";"mulher";43;"branca";1;1;"PR";1;8;500
2005;"RJ";"homem";11;"parda";1;1;;1;0;0
2005;"PA";"mulher";22;"parda";1;1;;1;6;0
2005;"CE";"homem";42;"branca";0;1;;1;8;400
2005;"CE";"homem";8;"parda";1;1;;1;2;
2005;"SP";"mulher";26;"branca";1;1;"CE";1;11;600
2005;"BA";"homem";41;"parda";0;1;;0;0;240
2005;"PR";"homem";27;"branca";1;1;;1;9;250
2005;"MG";"homem";82;"branca";0;1;;1;2;300
2005;"SP";"mulher";88;"branca";0;1;"BA";0;0;300
2005;"DF";"homem";28;"branca";1;1;"GO";1;15;4000
2005;"BA";"homem";55;"branca";0;1;"SE";1;4;500
2005;"PR";"homem";64;"parda";0;1;"SP";1;0;450
2005;"GO";"homem";51;"parda";0;1;;1;4;600
2005;"CE";"homem";12;"preta";1;1;;1;4;15
2005;"SP";"mulher";31;"parda";1;1;"CE";1;11;666
2005;"TO";"mulher";1;"parda";1;1;;0;0;
2005;"PE";"homem";3;"parda";1;1;;0;0;
2005;"BA";"mulher";20;"branca";1;1;;1;4;0
2005;"RO";"homem";31;"branca";0;1;"ES";1;5;70
2005;"BA";"homem";45;"preta";0;1;;0;0;300
2005;"RS";"mulher";73;"branca";0;1;;1;15;1800
2005;"AL";"mulher";44;"branca";1;1;;1;15;2500
2005;"MG";"mulher";7;"branca";1;1;;1;0;
2005;"RJ";"homem";9;"branca";1;1;;1;2;
2005;"MG";"mulher";5;"branca";1;1;;0;0;
2005;"CE";"mulher";24;"branca";1;1;;1;13;240
2005;"RS";"homem";60;"parda";1;1;;1;5;400
2005;"SP";"mulher";15;"branca";1;1;;1;8;0
2005;"SC";"homem";8;"branca";1;1;;1;1;
2005;"PA";"mulher";8;"parda";1;1;"MG";1;1;
2005;"SP";"mulher";19;"branca";1;1;;1;11;200
2005;"BA";"mulher";5;"branca";1;1;;0;0;
2005;"RS";"mulher";22;"branca";1;1;;1;10;300
2005;"SP";"homem";8;"branca";1;1;;1;1;
2005;"PR";"homem";50;"branca";1;1;;0;0;700
2005;"ES";"mulher";0;"parda";1;1;;0;0;
2005;"MG";"homem";19;"parda";1;1;;1;7;0
2005;"PR";"homem";29;"parda";1;1;;1;8;1500
2005;"AC";"mulher";50;"parda";0;1;;0;0;300
2005;"MG";"mulher";2;"preta";1;1;;0;0;
2005;"SP";"homem";54;"parda";0;1;"CE";1;3;800
2005;"SP";"homem";43;"branca";1;1;;1;13;500
2005;"MG";"mulher";55;"parda";0;1;"MA";1;4;0
2005;"RS";"mulher";42;"branca";1;1;;1;3;150
2005;"BA";"mulher";66;"parda";0;1;;0;0;300
2005;"RN";"mulher";15;"parda";1;1;;1;6;0
2005;"PA";"homem";53;"parda";0;1;;1;11;3400
2005;"PA";"homem";17;"parda";1;1;;1;7;300
2005;"PE";"mulher";2;"parda";1;1;;0;0;
2005;"MG";"mulher";88;"branca";0;1;;1;3;300
2005;"SP";"mulher";35;"branca";1;1;;1;11;1000
2005;"BA";"mulher";58;"branca";0;1;;0;0;307
2005;"MS";"mulher";39;"parda";1;1;"SP";1;12;1450
2005;"PE";"mulher";13;"parda";1;1;;1;4;80
2005;"MG";"homem";34;"branca";1;1;;1;4;1500
2005;"AL";"homem";59;"parda";1;1;;0;1;600
2005;"SP";"mulher";28;"parda";1;1;;1;11;900
2005;"PB";"homem";3;"branca";1;1;;0;0;
2005;"MG";"mulher";44;"preta";1;1;;1;8;1500
2005;"PR";"homem";60;"branca";0;1;"RS";1;3;450
2005;"PA";"mulher";22;"parda";1;1;;1;11;350
2005;"RS";"homem";53;"branca";1;1;;1;5;600
2005;"AL";"mulher";10;"parda";1;1;;1;1;0
2005;"RS";"homem";45;"branca";1;1;;1;15;5000
2005;"AL";"homem";65;"parda";0;1;;0;0;
2005;"AL";"homem";2;"branca";1;1;;0;0;
2005;"MG";"homem";10;"branca";1;1;;1;3;0
2005;"RS";"homem";23;"branca";1;1;;0;0;140
2005;"RS";"homem";17;"parda";1;1;;1;7;600
2005;"BA";"homem";31;"parda";1;1;;1;12;0
2005;"PR";"mulher";17;"branca";1;1;;0;0;0
2005;"GO";"mulher";39;"branca";1;1;;0;0;400
2005;"BA";"mulher";22;"branca";1;1;;1;11;300
2005;"SP";"mulher";8;"parda";1;1;;0;1;
2005;"BA";"homem";2;"branca";1;1;;0;0;
2005;"PE";"homem";4;"branca";1;1;;0;0;
2005;"PR";"homem";23;"parda";1;1;;1;11;630
2005;"CE";"homem";;"parda";1;1;;0;3;300
2005;"SP";"mulher";40;"parda";1;1;;1;11;1112
2005;"TO";"homem";14;"branca";1;1;;1;3;15
2005;"RN";"mulher";2;"parda";1;1;;0;0;
2005;"MA";"homem";23;"branca";1;1;;1;4;300
2005;"RN";"mulher";36;"parda";1;1;;1;15;2100
2005;"PA";"homem";20;"parda";1;1;;1;7;0
2005;"SP";"homem";37;"branca";0;1;;1;8;0
2005;"RS";"homem";59;"branca";1;1;;1;5;700
2005;"PR";"homem";37;"amarela";1;1;;1;12;2700
2005;"SC";"mulher";14;"branca";1;1;;1;7;0
2005;"BA";"homem";2;"parda";1;1;;0;0;
2005;"BA";"mulher";32;"parda";1;1;;1;6;0
2005;"SC";"mulher";43;"branca";1;1;;1;4;0
2005;"RJ";"homem";56;"preta";0;1;;1;11;1000
2005;"SP";"mulher";52;"parda";0;1;;1;11;400
2005;"SE";"homem";19;"parda";1;1;;1;10;500
2005;"PE";"homem";4;"parda";1;1;;0;0;
2005;"DF";"homem";24;"parda";1;1;;1;15;1000
2005;"SP";"homem";27;"branca";1;1;;1;12;300
2005;"CE";"mulher";45;"parda";1;1;;1;11;80
2005;"TO";"mulher";29;"branca";1;1;;1;14;0
2005;"MG";"mulher";18;"branca";1;1;;1;7;0
2005;"MS";"homem";15;"parda";1;1;;1;6;0
2005;"RJ";"mulher";29;"parda";0;1;;1;15;400
2005;"DF";"homem";11;"branca";1;1;;0;0;0
2005;"SP";"homem";9;"branca";1;1;;1;2;
2005;"SE";"mulher";71;"parda";0;1;;1;4;530
2005;"BA";"homem";19;"branca";1;1;;1;10;150
2005;"MA";"mulher";26;"parda";1;1;;1;8;0
2005;"RO";"homem";63;"parda";0;1;"ES";1;4;550
2005;"SP";"homem";29;"parda";1;1;;1;11;750
