ano;UF;sexo;idade;cor;mae_viva;reg_nascimento;UF_nasc;alfabetizado;anos_estudo;renda_total
2015;RN;mulher;6;parda;1;1;;1;0;
2015;SE;homem;33;parda;1;1;;1;7;788
2015;RJ;homem;0;parda;1;1;;0;0;
2015;MT;mulher;36;parda;0;1;;1;15;2000
2015;PI;mulher;24;parda;1;1;;1;11;296
2015;MT;mulher;12;parda;1;1;;1;5;0
2015;GO;mulher;12;parda;1;1;;1;6;0
2015;SP;mulher;18;branca;1;1;;1;11;0
2015;RJ;homem;83;parda;0;1;;1;5;788
2015;AM;homem;10;parda;1;1;;1;0;0
2015;CE;homem;14;parda;1;1;;1;7;0
2015;MA;mulher;0;branca;1;1;;0;0;
2015;SP;mulher;73;branca;0;1;;1;6;1400
2015;BA;homem;30;parda;1;1;;0;0;0
2015;PR;homem;39;branca;1;1;;1;15;3000
2015;MG;mulher;27;branca;1;1;;1;11;875
2015;SP;homem;49;parda;0;1;PB;1;6;1300
2015;DF;homem;5;parda;1;1;;0;0;
2015;BA;mulher;57;branca;1;1;;1;4;0
2015;PR;homem;28;parda;1;1;;1;9;2900
2015;GO;homem;36;branca;1;1;PI;1;5;1600
2015;CE;mulher;52;parda;1;1;;0;0;788
2015;SP;homem;36;branca;1;1;;1;5;0
2015;PA;mulher;18;parda;1;1;;1;11;0
2015;PB;homem;6;parda;1;1;;0;0;
2015;BA;mulher;41;branca;1;1;;1;6;1684
2015;RO;homem;34;branca;1;1;MS;1;6;2288
2015;BA;mulher;26;preta;1;1;;1;6;112
2015;RS;mulher;5;branca;1;1;;0;0;
2015;PE;mulher;57;parda;0;1;;0;0;147
2015;MG;homem;39;branca;1;1;;1;4;2364
2015;RJ;homem;36;preta;1;1;;1;8;2800
2015;MG;homem;52;branca;1;1;SP;1;4;2288
2015;PI;mulher;60;parda;0;1;CE;1;1;180
2015;RS;mulher;10;branca;1;1;;1;2;0
2015;SP;mulher;11;parda;1;1;;1;4;0
2015;PR;mulher;17;branca;1;1;;1;11;0
2015;PA;homem;4;parda;1;1;;0;0;
2015;SP;mulher;38;branca;1;1;;1;14;5000
2015;BA;mulher;23;parda;1;1;;1;11;150
2015;SC;mulher;36;branca;1;1;;1;14;0
2015;SP;mulher;83;branca;0;1;MG;1;0;1000
2015;PR;mulher;4;branca;1;1;;0;0;
2015;ES;homem;21;branca;1;1;;1;11;1100
2015;MG;mulher;70;parda;0;1;;1;0;788
2015;PR;mulher;37;branca;1;1;;1;11;800
2015;AC;mulher;70;parda;0;1;;1;6;788
2015;MG;mulher;49;parda;1;1;;0;0;788
2015;SP;homem;10;branca;1;1;;1;3;0
2015;SP;mulher;3;branca;1;1;;0;0;
2015;MG;homem;32;branca;1;1;;1;4;1576
2015;RS;homem;34;branca;1;1;;1;7;2000
2015;BA;homem;20;branca;1;1;;1;11;140
2015;CE;homem;30;parda;1;1;;1;11;400
2015;RR;homem;33;parda;1;1;;1;12;1200
2015;PA;mulher;0;parda;1;1;;0;0;
2015;PE;homem;28;branca;1;1;;1;11;0
2015;MG;homem;51;preta;0;1;;1;11;600
2015;SP;mulher;32;branca;1;1;;1;11;1800
2015;BA;mulher;11;parda;1;1;;1;4;0
2015;MS;mulher;58;parda;1;1;;1;2;1576
2015;PE;homem;80;branca;0;1;RN;0;4;788
2015;MG;mulher;26;preta;0;1;;1;11;210
2015;PE;mulher;65;branca;0;1;;1;15;3000
2015;SP;homem;41;branca;1;1;;1;11;1800
2015;RN;mulher;59;parda;1;1;;0;0;0
2015;MG;mulher;53;parda;0;1;;1;11;900
2015;PR;homem;24;branca;1;1;;1;11;1400
2015;PA;homem;31;parda;1;1;;1;11;1500
2015;RS;homem;43;indígena;1;1;;1;7;2400
2015;PE;homem;21;branca;1;1;;1;9;0
2015;RS;mulher;39;parda;1;1;;1;4;1000
2015;AL;homem;16;branca;1;1;;1;8;0
2015;PE;mulher;62;branca;0;1;PB;1;11;0
2015;MG;mulher;44;branca;1;1;;1;4;788
2015;RS;mulher;31;branca;1;1;;1;11;112
2015;RS;homem;18;branca;1;1;;1;8;800
2015;BA;homem;25;parda;1;1;;1;11;500
2015;PR;homem;16;branca;1;1;;1;9;1000
2015;GO;homem;7;parda;1;1;;1;0;
2015;BA;homem;68;parda;0;1;;1;11;788
2015;SP;mulher;47;branca;1;1;AL;1;5;0
2015;BA;mulher;56;branca;1;1;;1;11;402
2015;PE;homem;61;parda;0;1;;1;10;1200
2015;PR;mulher;48;branca;1;1;;1;11;0
2015;CE;homem;18;parda;1;1;;1;10;300
